review_id,date,customer_id,channel,rating,review_text,sentiment_label
R0001,2025-10-05,C018,GoFood,5,"Menurutku, Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba.",positive
R0002,2024-09-05,C019,GrabFood,2,"Jujur, Harga naik tapi porsi menyusut. Kurang oke.",negative
R0003,2025-02-27,,ShopeeFood,5,"Pesan via GoFood, sampai 20 menit. Masih hangat. Mantap! Thanks.",positive
R0004,2025-06-30,,GoFood,4,"Oh ya, Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi. Thanks.",positive
R0005,2025-07-14,C018,Google Review,3,"Menurutku, Enaknya standar, harga juga standar.",neutral
R0006,2024-07-25,C019,ShopeeFood,1,"Donatnya keras, kayaknya bukan hari itu dibuat.",negative
R0007,2025-03-22,,Google Review,3,"Menurutku, Pernah coba, okelah buat sesekali.",neutral
R0008,2025-03-15,C016,Google Review,1,"Pesan 10 box, 2 box isinya kurang. Disappointed.",negative
R0009,2024-08-22,C014,ShopeeFood,4,"Btw, Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi. Lanjutkan ya.",positive
R0010,2024-08-28,,Google Review,4,"Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi.",positive
R0011,2025-07-01,,Instagram,5,Favorit keluarga. Donat gulanya empuk dan harum. 👍,positive
R0012,2025-03-31,,Google Review,3,"Btw, Akan coba lagi kalau kebetulan lewat. 👍",neutral
R0013,2024-06-12,,GrabFood,3,"Menurutku, Aplikasinya error terus waktu mau bayar, ribet.",negative
R0014,2025-10-22,,ShopeeFood,5,"Btw, Nasi rendangnya mengingatkan masakan rumah. Recommended!",positive
R0015,2025-02-12,C009,GoFood,5,"Menurutku, Kue lapisnya juara. Tidak terlalu manis, tekstur pas. Thanks.",positive
R0016,2024-08-11,,GoFood,4,"Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas.",neutral
R0017,2024-12-14,C018,ShopeeFood,4,"Stok selalu ada, kurir ShopeeFood cepat. Good job.",positive
R0018,2025-09-10,,GrabFood,2,Harga naik tapi porsi menyusut. Kurang oke.,negative
R0019,2024-07-08,C009,ShopeeFood,3,"Menurutku, Kopi lumayan, tapi tidak se-spesial yang diklaim. Recommended.",neutral
R0020,2025-08-13,C001,GrabFood,3,"Menurutku, Biasa saja, tidak luar biasa tidak juga buruk.",neutral
R0021,2025-07-20,C015,Instagram,1,"Btw, Pengiriman lama, rotinya sampai dingin. Kecewa. Tolong dievaluasi.",negative
R0022,2025-03-03,C016,GrabFood,3,"Biasa saja, tidak luar biasa tidak juga buruk.",neutral
R0023,2024-07-18,C009,Instagram,1,"Menurutku, Tempat sempit, parkir sulit di weekend. Tolong dievaluasi.",negative
R0024,2025-05-26,C003,ShopeeFood,2,"Menurutku, Packaging bocor, kuah nasi tumpah di tas. Mohon diperbaiki.",negative
R0025,2024-10-13,C012,GrabFood,2,Harga naik tapi porsi menyusut. Kurang oke. Mohon diperbaiki.,negative
R0026,2025-10-18,C017,GoFood,4,"Jujur, Menu lengkap, tapi saya bingung pilih karena terlalu banyak varian. 👍",neutral
R0027,2025-09-06,C012,Google Review,3,"Btw, Biasa saja, tidak luar biasa tidak juga buruk. Lanjutkan ya.",neutral
R0028,2024-10-23,C008,Google Review,5,"Harga lebih murah dari kompetitor, kualitas setara.",positive
R0029,2025-04-15,C011,Google Review,1,"Oh ya, Pengiriman lama, rotinya sampai dingin. Kecewa. Kecewa.",negative
R0030,2024-09-16,,ShopeeFood,3,"Oh ya, Baru pertama kali coba, belum bisa nilai.",neutral
R0031,2024-06-17,C014,Google Review,5,"Menurutku, Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba.",positive
R0032,2025-09-26,C006,GrabFood,3,"Baru pertama kali coba, belum bisa nilai.",neutral
R0033,2024-11-30,,ShopeeFood,3,Antri 30 menit untuk dine-in. Staf kurang sigap. Tolong dievaluasi.,negative
R0034,2024-10-24,,Instagram,5,"Menurutku, Pesan via GoFood, sampai 20 menit. Masih hangat. Mantap! Thanks.",positive
R0035,2025-12-31,C016,GoFood,5,"Btw, Nasi rendangnya mengingatkan masakan rumah. Recommended!",positive
R0036,2024-11-26,,Google Review,3,"Oh ya, Roti oke, tapi saya prefer yang lain untuk sarapan.",neutral
R0037,2024-06-18,,Instagram,3,"Oh ya, Baru pertama kali coba, belum bisa nilai. Lanjutkan ya.",neutral
R0038,2024-10-04,C006,Instagram,2,"Jujur, Kasir salah total, harus komplain dulu baru dikoreksi. Kecewa.",negative
R0039,2024-10-08,,GoFood,1,"Oh ya, Pesan via GrabFood, kurir nyasar 1 jam. Makanan dingin. Tolong dievaluasi.",negative
R0040,2025-04-08,,GrabFood,5,Roti coklat keju lumer di mulut. Bakal order lagi. Lanjutkan ya.,positive
R0041,2024-07-27,C019,Instagram,4,"Oh ya, Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas. 👍",neutral
R0042,2025-11-21,,GrabFood,2,"Menurutku, Kasir salah total, harus komplain dulu baru dikoreksi.",negative
R0043,2025-03-07,,GoFood,5,"Oh ya, Roti coklat keju lumer di mulut. Bakal order lagi. Recommended.",positive
R0044,2024-07-24,C008,Instagram,4,"Jujur, Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas. Recommended.",neutral
R0045,2025-05-17,C015,GrabFood,3,"Menurutku, Antri 30 menit untuk dine-in. Staf kurang sigap. Kecewa.",negative
R0046,2025-12-31,,GrabFood,2,"Jujur, Kasir salah total, harus komplain dulu baru dikoreksi. Tolong dievaluasi.",negative
R0047,2024-06-04,C008,GrabFood,2,"Kasir salah total, harus komplain dulu baru dikoreksi.",negative
R0048,2024-09-15,C001,GoFood,2,Rasa kue lapis berubah dari yang dulu. Tidak seenak sebelumnya. Tolong dievaluasi.,negative
R0049,2025-08-14,C005,ShopeeFood,4,"Sudah order 3 kali, belum pernah kecewa. Recommended.",positive
R0050,2025-03-26,C008,GoFood,5,Favorit keluarga. Donat gulanya empuk dan harum.,positive
R0051,2024-12-15,,Google Review,5,Nasi rendangnya mengingatkan masakan rumah. Recommended! 👍,positive
R0052,2025-02-18,C003,GrabFood,3,"Jujur, Akan coba lagi kalau kebetulan lewat.",neutral
R0053,2025-01-30,C005,GrabFood,5,Favorit keluarga. Donat gulanya empuk dan harum.,positive
R0054,2025-05-08,,ShopeeFood,3,"Jujur, Roti coklatnya nggak ada coklatnya, cuma selai tipis.",negative
R0055,2025-03-25,,GoFood,4,"Menurutku, Menu lengkap, tapi saya bingung pilih karena terlalu banyak varian. Recommended.",neutral
R0056,2024-07-05,C006,Instagram,3,"Baru pertama kali coba, belum bisa nilai. Lanjutkan ya.",neutral
R0057,2025-07-03,C014,Instagram,2,Rasa kue lapis berubah dari yang dulu. Tidak seenak sebelumnya.,negative
R0058,2025-08-01,C013,GoFood,2,Rating di Google 4.5 tapi menurut saya overrated. Mohon diperbaiki.,negative
R0059,2024-08-27,C014,Google Review,3,"Roti oke, tapi saya prefer yang lain untuk sarapan. Lanjutkan ya.",neutral
R0060,2025-08-28,C005,Google Review,3,"Aplikasinya error terus waktu mau bayar, ribet.",negative
R0061,2025-06-29,,Google Review,3,"Jujur, Kopi lumayan, tapi tidak se-spesial yang diklaim. Recommended.",neutral
R0062,2025-08-17,,Instagram,4,"Oh ya, Stok selalu ada, kurir ShopeeFood cepat. Good job. Recommended.",positive
R0063,2025-08-23,C015,Google Review,4,"Kopi tubruknya khas, pahit sedikit tapi enak. Thanks.",positive
R0064,2025-01-24,,Instagram,2,Harga naik tapi porsi menyusut. Kurang oke. Kecewa.,negative
R0065,2025-12-02,C008,ShopeeFood,5,Pelayanan ramah waktu dine-in. Tempat bersih. Recommended.,positive
R0066,2025-06-02,C018,ShopeeFood,1,"Jujur, Pengiriman lama, rotinya sampai dingin. Kecewa.",negative
R0067,2025-02-21,C013,GrabFood,3,"Biasa saja, tidak luar biasa tidak juga buruk.",neutral
R0068,2025-09-10,,Google Review,1,"Pesan via GrabFood, kurir nyasar 1 jam. Makanan dingin. Kecewa.",negative
R0069,2025-12-22,C005,GoFood,3,"Roti coklatnya nggak ada coklatnya, cuma selai tipis. Mohon diperbaiki.",negative
R0070,2024-12-22,,Google Review,3,"Baru pertama kali coba, belum bisa nilai. 👍",neutral
R0071,2025-03-09,C009,Google Review,5,"Menurutku, Roti coklat keju lumer di mulut. Bakal order lagi. Lanjutkan ya.",positive
R0072,2024-10-30,,ShopeeFood,4,"Anak saya alergi susu, mereka bantu cek komposisi. Thoughtful. 👍",positive
R0073,2024-11-30,C011,GrabFood,1,"Menurutku, Pesan 10 box, 2 box isinya kurang. Disappointed. Kecewa.",negative
R0074,2025-06-05,C018,Instagram,5,"Oh ya, Harga lebih murah dari kompetitor, kualitas setara.",positive
R0075,2024-11-17,,Google Review,5,Favorit keluarga. Donat gulanya empuk dan harum.,positive
R0076,2025-04-18,C002,ShopeeFood,1,"Tempat sempit, parkir sulit di weekend.",negative
R0077,2025-11-13,C017,Instagram,3,"Oh ya, Pernah coba, okelah buat sesekali.",neutral
R0078,2024-09-02,C013,GrabFood,5,"Jujur, Pelayanan ramah waktu dine-in. Tempat bersih. Thanks.",positive
R0079,2025-01-18,C018,GrabFood,5,"Btw, Roti coklat keju lumer di mulut. Bakal order lagi.",positive
R0080,2024-11-29,,Instagram,1,"Jujur, Tempat sempit, parkir sulit di weekend. Kecewa.",negative
R0081,2025-02-17,,GoFood,2,Rasa kue lapis berubah dari yang dulu. Tidak seenak sebelumnya.,negative
R0082,2024-08-17,C002,Instagram,5,"Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba.",positive
R0083,2024-08-26,C018,Instagram,5,"Menurutku, Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba.",positive
R0084,2024-08-20,C013,ShopeeFood,1,"Btw, Tempat sempit, parkir sulit di weekend.",negative
R0085,2024-07-21,C019,Google Review,5,"Menurutku, Favorit keluarga. Donat gulanya empuk dan harum. Thanks.",positive
R0086,2024-09-21,C013,ShopeeFood,3,"Jujur, Nasi boxnya kurang bumbu, hambar. Mohon diperbaiki.",negative
R0087,2024-08-16,,GrabFood,3,Kue lapis enak tapi mahal untuk porsinya.,neutral
R0088,2025-05-26,,GrabFood,1,"Oh ya, Pengiriman lama, rotinya sampai dingin. Kecewa. Tolong dievaluasi.",negative
R0089,2025-02-27,C005,Google Review,4,"Menurutku, Pelayanan cukup, antrian cukup. Semua rata-rata.",neutral
R0090,2024-08-24,,Google Review,4,"Stok selalu ada, kurir ShopeeFood cepat. Good job. Recommended.",positive
R0091,2024-07-01,,GrabFood,3,"Btw, Baru pertama kali coba, belum bisa nilai. 👍",neutral
R0092,2025-04-15,,Instagram,4,"Stok selalu ada, kurir ShopeeFood cepat. Good job.",positive
R0093,2025-06-23,,GrabFood,1,"Pesan 10 box, 2 box isinya kurang. Disappointed.",negative
R0094,2025-08-20,C009,GrabFood,3,"Baru pertama kali coba, belum bisa nilai. Thanks.",neutral
R0095,2024-12-12,C009,ShopeeFood,1,"Oh ya, Pengiriman lama, rotinya sampai dingin. Kecewa. Kecewa.",negative
R0096,2025-11-27,C011,GoFood,3,"Oh ya, Akan coba lagi kalau kebetulan lewat. Thanks.",neutral
R0097,2025-08-20,C015,GoFood,3,"Aplikasinya error terus waktu mau bayar, ribet.",negative
R0098,2024-10-05,C011,ShopeeFood,5,"Harga lebih murah dari kompetitor, kualitas setara. 👍",positive
R0099,2024-07-02,C014,ShopeeFood,3,"Oh ya, Antri 30 menit untuk dine-in. Staf kurang sigap.",negative
R0100,2024-08-20,,GoFood,2,"Btw, Kasir salah total, harus komplain dulu baru dikoreksi.",negative
R0101,2025-06-08,,ShopeeFood,1,"Oh ya, Pesan 10 box, 2 box isinya kurang. Disappointed.",negative
R0102,2024-06-09,,Instagram,3,"Pernah coba, okelah buat sesekali.",neutral
R0103,2024-08-17,,GoFood,1,"Pesan 10 box, 2 box isinya kurang. Disappointed.",negative
R0104,2024-11-04,C011,Instagram,3,"Btw, Akan coba lagi kalau kebetulan lewat. Lanjutkan ya.",neutral
R0105,2024-12-21,C007,Instagram,4,"Menu lengkap, tapi saya bingung pilih karena terlalu banyak varian. Thanks.",neutral
R0106,2025-12-03,C011,GrabFood,4,"Jujur, Stok selalu ada, kurir ShopeeFood cepat. Good job. 👍",positive
R0107,2025-11-09,C006,GrabFood,3,"Roti oke, tapi saya prefer yang lain untuk sarapan.",neutral
R0108,2025-03-02,,GrabFood,4,"Oh ya, Anak saya alergi susu, mereka bantu cek komposisi. Thoughtful.",positive
R0109,2025-12-23,,Google Review,3,"Jujur, Pernah coba, okelah buat sesekali. Thanks.",neutral
R0110,2025-05-12,,GrabFood,5,"Oh ya, Favorit keluarga. Donat gulanya empuk dan harum.",positive
R0111,2025-11-24,C017,ShopeeFood,5,"Harga lebih murah dari kompetitor, kualitas setara.",positive
R0112,2025-03-06,C007,GoFood,3,"Aplikasinya error terus waktu mau bayar, ribet.",negative
R0113,2024-11-08,C007,Instagram,3,"Jujur, Akan coba lagi kalau kebetulan lewat.",neutral
R0114,2024-10-07,C003,Instagram,4,"Btw, Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas.",neutral
R0115,2024-08-13,C015,GoFood,4,"Oh ya, Stok selalu ada, kurir ShopeeFood cepat. Good job.",positive
R0116,2025-07-26,,ShopeeFood,5,"Rotinya lembut banget, anak-anak suka. Packingnya rapi.",positive
R0117,2025-06-10,C020,ShopeeFood,5,"Btw, Nasi rendangnya mengingatkan masakan rumah. Recommended!",positive
R0118,2025-03-27,C003,GrabFood,1,"Jujur, Pesan 10 box, 2 box isinya kurang. Disappointed. Kecewa.",negative
R0119,2024-12-09,C013,Instagram,4,"Sudah order 3 kali, belum pernah kecewa.",positive
R0120,2024-06-18,C007,ShopeeFood,3,"Aplikasinya error terus waktu mau bayar, ribet.",negative
R0121,2024-07-20,C002,Instagram,3,"Enaknya standar, harga juga standar. Recommended.",neutral
R0122,2025-04-08,,Instagram,3,"Menurutku, Pernah coba, okelah buat sesekali. Lanjutkan ya.",neutral
R0123,2024-07-19,C012,GoFood,4,"Stok selalu ada, kurir ShopeeFood cepat. Good job.",positive
R0124,2024-12-27,,ShopeeFood,4,"Oh ya, Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas.",neutral
R0125,2024-07-14,,ShopeeFood,3,"Nasi boxnya kurang bumbu, hambar.",negative
R0126,2024-10-07,C010,Google Review,2,"Menurutku, Kasir salah total, harus komplain dulu baru dikoreksi. Mohon diperbaiki.",negative
R0127,2024-08-15,C012,Google Review,2,"Btw, Packaging bocor, kuah nasi tumpah di tas. Mohon diperbaiki.",negative
R0128,2025-06-11,,GoFood,3,Kue lapis enak tapi mahal untuk porsinya.,neutral
R0129,2025-11-23,C012,Google Review,4,"Menurutku, Rasanya tidak salah, tapi juga tidak memorable.",neutral
R0130,2025-11-04,C004,GoFood,4,"Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi. 👍",positive
R0131,2025-08-20,C002,GrabFood,3,"Aplikasinya error terus waktu mau bayar, ribet.",negative
R0132,2025-06-06,C012,GoFood,5,"Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba. Lanjutkan ya.",positive
R0133,2024-12-13,C014,Instagram,1,"Btw, Tempat sempit, parkir sulit di weekend.",negative
R0134,2024-12-16,,Google Review,1,"Jujur, Pengiriman lama, rotinya sampai dingin. Kecewa.",negative
R0135,2025-12-01,,Instagram,5,Nasi rendangnya mengingatkan masakan rumah. Recommended! Thanks.,positive
R0136,2025-07-13,C012,GrabFood,3,"Biasa saja, tidak luar biasa tidak juga buruk.",neutral
R0137,2025-09-10,,GoFood,4,"Menurutku, Kopi tubruknya khas, pahit sedikit tapi enak. 👍",positive
R0138,2024-06-25,C020,GrabFood,3,Kue lapis enak tapi mahal untuk porsinya.,neutral
R0139,2025-08-14,C007,GrabFood,1,"Oh ya, Donatnya keras, kayaknya bukan hari itu dibuat. Tolong dievaluasi.",negative
R0140,2024-10-26,C018,GrabFood,4,"Jujur, Sudah order 3 kali, belum pernah kecewa. Recommended.",positive
R0141,2024-12-17,,GrabFood,1,"Pesan 10 box, 2 box isinya kurang. Disappointed.",negative
R0142,2025-06-05,C018,ShopeeFood,4,"Oh ya, Pelayanan cukup, antrian cukup. Semua rata-rata. Thanks.",neutral
R0143,2025-03-28,,ShopeeFood,4,"Menurutku, Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi. Thanks.",positive
R0144,2025-05-03,,GrabFood,5,"Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba.",positive
R0145,2025-08-25,C004,ShopeeFood,1,"Btw, Donatnya keras, kayaknya bukan hari itu dibuat.",negative
R0146,2024-10-09,C006,GrabFood,5,"Pesan via GoFood, sampai 20 menit. Masih hangat. Mantap! Lanjutkan ya.",positive
R0147,2025-04-08,,ShopeeFood,5,"Kue lapisnya juara. Tidak terlalu manis, tekstur pas.",positive
R0148,2025-07-19,C003,GrabFood,5,"Langganan tiap minggu. Rasa konsisten, harga masuk akal.",positive
R0149,2024-11-14,C006,Google Review,5,Pelayanan ramah waktu dine-in. Tempat bersih.,positive
R0150,2025-01-06,C014,GrabFood,4,"Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi.",positive
R0151,2025-05-03,C003,Google Review,4,"Jujur, Rasanya tidak salah, tapi juga tidak memorable.",neutral
R0152,2025-03-08,C010,GoFood,1,"Pengiriman lama, rotinya sampai dingin. Kecewa.",negative
R0153,2025-10-22,,Google Review,3,"Roti oke, tapi saya prefer yang lain untuk sarapan. Lanjutkan ya.",neutral
R0154,2025-10-31,C011,GrabFood,2,"Oh ya, Harga naik tapi porsi menyusut. Kurang oke. Mohon diperbaiki.",negative
R0155,2024-06-24,C018,ShopeeFood,4,"Rasanya tidak salah, tapi juga tidak memorable. 👍",neutral
R0156,2025-01-29,C014,GoFood,3,"Roti coklatnya nggak ada coklatnya, cuma selai tipis.",negative
R0157,2024-06-10,C009,GrabFood,4,"Rasanya tidak salah, tapi juga tidak memorable.",neutral
R0158,2025-10-06,,GrabFood,3,"Menurutku, Antri 30 menit untuk dine-in. Staf kurang sigap.",negative
R0159,2025-06-27,C004,ShopeeFood,5,"Rotinya lembut banget, anak-anak suka. Packingnya rapi. Recommended.",positive
R0160,2025-12-14,C019,Google Review,5,"Rotinya lembut banget, anak-anak suka. Packingnya rapi. Recommended.",positive
R0161,2025-07-22,,GrabFood,2,"Oh ya, Harga naik tapi porsi menyusut. Kurang oke. Kecewa.",negative
