campaign_id,campaign_name,start_date,end_date,channel,target_segment,budget_idr,revenue_attributed_idr,roi,owner
CAMP-0111,NSI BBM 2024-Q1,2024-01-02,2024-02-01,kol_influencer,wellness_premium,933000000,4169039683,4.47,Marketing-4
CAMP-0342,NSI Senin Hemat 2024-Q1,2024-01-03,2024-02-02,digital_ads,wellness_premium,423000000,1280048288,3.03,Marketing-12
CAMP-0323,NSI Sehat 2024-Q1,2024-01-07,2024-02-21,digital_ads,mass,270000000,705833873,2.61,Marketing-4
CAMP-0032,NSI BBM 2024-Q1,2024-01-11,2024-02-10,loyalty_program,mass,370000000,2094751451,5.66,Marketing-5
CAMP-0197,NSI BBM 2024-Q1,2024-01-12,2024-01-26,sms_blast,b2b,19000000,49324911,2.6,Marketing-5
CAMP-0023,NSI Wellness 2024-Q1,2024-01-13,2024-01-27,in_store_promo,b2b,417000000,1428915042,3.43,Marketing-12
CAMP-0278,NSI BBM 2024-Q1,2024-01-13,2024-02-27,sms_blast,mass,38000000,121243028,3.19,Marketing-1
CAMP-0225,NSI Senin Hemat 2024-Q1,2024-01-14,2024-02-28,apps_push,senior,12000000,56498955,4.71,Marketing-1
CAMP-0073,NSI Premium 2024-Q1,2024-01-16,2024-03-01,sms_blast,mass,50000000,148689000,2.97,Marketing-3
CAMP-0104,NSI Reward 2024-Q1,2024-01-18,2024-01-25,loyalty_program,senior,143000000,700859783,4.9,Marketing-11
CAMP-0103,NSI BBM 2024-Q1,2024-01-20,2024-01-27,loyalty_program,young_family,114000000,621436595,5.45,Marketing-1
CAMP-0339,NSI Reward 2024-Q1,2024-01-20,2024-01-27,apps_push,mass,29000000,139408224,4.81,Marketing-9
CAMP-0109,NSI Wellness 2024-Q1,2024-02-02,2024-03-18,loyalty_program,young_family,279000000,1619718685,5.81,Marketing-8
CAMP-0140,NSI BBM 2024-Q1,2024-02-02,2024-02-16,kol_influencer,senior,807000000,3573428558,4.43,Marketing-5
CAMP-0240,NSI Sehat 2024-Q1,2024-02-02,2024-02-16,kol_influencer,b2b,226000000,937526659,4.15,Marketing-1
CAMP-0068,NSI Senin Hemat 2024-Q1,2024-02-05,2024-03-06,kol_influencer,young_family,776000000,3204142365,4.13,Marketing-9
CAMP-0067,NSI Premium 2024-Q1,2024-02-10,2024-03-26,loyalty_program,senior,299000000,1726212285,5.77,Marketing-12
CAMP-0090,NSI Premium 2024-Q1,2024-02-13,2024-03-29,loyalty_program,b2b,391000000,2369155277,6.06,Marketing-3
CAMP-0007,NSI Reward 2024-Q1,2024-02-16,2024-03-01,kol_influencer,wellness_premium,254000000,1156316952,4.55,Marketing-12
CAMP-0222,NSI Wellness 2024-Q1,2024-02-16,2024-02-23,digital_ads,wellness_premium,277000000,687501764,2.48,Marketing-7
CAMP-0055,NSI Senin Hemat 2024-Q1,2024-02-18,2024-03-19,sms_blast,senior,15000000,51321661,3.42,Marketing-3
CAMP-0153,NSI Premium 2024-Q1,2024-02-18,2024-03-03,kol_influencer,b2b,855000000,3374186511,3.95,Marketing-1
CAMP-0261,NSI Wellness 2024-Q1,2024-02-18,2024-03-19,loyalty_program,wellness_premium,367000000,2010717367,5.48,Marketing-8
CAMP-0162,NSI Premium 2024-Q1,2024-02-20,2024-04-20,digital_ads,young_family,124000000,395046210,3.19,Marketing-4
